Municipality,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Norwood,4721,4974,5227,5480,5733,5986,6239,6492,6746,6999,7252,7505,7758,8011,8473,8934,9396,9857,10319,10781,11242,11704,12165,12627,12869,13111,13354,13596,13838,14080,14322,14565,14807,15049,15082,15116,15149,15183,15216,15249,15283,15316,15350,15383,15508,15634,15759,15884,16010,16135,16260,16385,16511,16636,17462,18288,19115,19941,20767,21593,22419,23246,24072,24898,25490,26081,26673,27265,27856,28448,29040,29632,30223,30815,30705,30594,30484,30373,30263,30153,30042,29932,29821,29711,29610,29509,29408,29307,29206,29104,29003,28902,28801,28700,28689,28677,28666,28655,28644,28632,28621,28610,28598,28587,28588,28590,28592,28593,28594,28596,28598,28599,28600,28602,28903,29204,29505,29806,30106,30407,30708,31009,31310,31611,31484,31357,31230,31764,32298
Peabody,10264,10683,11103,11523,11943,12363,12782,13202,13622,14042,14462,14881,15301,15721,16104,16487,16870,17253,17636,18020,18403,18786,19169,19552,19731,19911,20090,20269,20448,20628,20807,20986,21166,21345,21382,21418,21455,21491,21528,21565,21601,21638,21674,21711,21804,21898,21991,22085,22178,22271,22365,22458,22552,22645,23601,24556,25512,26468,27424,28379,29335,30291,31246,32202,33790,35378,36965,38553,40141,41729,43317,44904,46492,48080,47870,47659,47449,47238,47028,46818,46607,46397,46186,45976,46082,46189,46295,46401,46508,46614,46720,46826,46933,47039,47148,47257,47366,47475,47584,47693,47802,47911,48020,48129,48441,48753,49066,49378,49690,50002,50314,50627,50939,51251,51574,51897,52220,52543,52866,53189,53512,53835,54158,54481,54339,54198,54056,55418,56780
Pembroke,1211,1221,1230,1240,1250,1259,1269,1278,1288,1298,1307,1317,1326,1336,1388,1440,1493,1545,1597,1649,1701,1754,1806,1858,1821,1785,1748,1712,1675,1638,1602,1565,1529,1492,1515,1537,1560,1582,1605,1628,1650,1673,1695,1718,1804,1890,1976,2062,2148,2235,2321,2407,2493,2579,2813,3047,3281,3515,3749,3983,4217,4451,4685,4919,5546,6174,6801,7429,8056,8683,9311,9938,10566,11193,11422,11652,11881,12111,12340,12569,12799,13028,13258,13487,13593,13698,13804,13910,14016,14121,14227,14333,14438,14544,14782,15021,15259,15497,15736,15974,16212,16450,16689,16927,17018,17109,17200,17291,17382,17473,17564,17655,17746,17837,17889,17942,17994,18047,18099,18151,18204,18256,18309,18361,18336,18311,18286,18428,18570
Quincy,21276,22150,23025,23899,24773,25648,26522,27396,28270,29145,30019,30893,31768,32642,34165,35689,37212,38736,40259,41782,43306,44829,46353,47876,50287,52697,55108,57519,59930,62340,64751,67162,69572,71983,72366,72748,73131,73514,73896,74279,74662,75045,75427,75810,76612,77415,78218,79020,79822,80625,81428,82230,83032,83835,84192,84550,84907,85265,85622,85979,86337,86694,87052,87409,87465,87520,87576,87632,87688,87743,87799,87855,87910,87966,87644,87321,86999,86677,86354,86032,85710,85388,85065,84743,84767,84791,84816,84840,84864,84888,84912,84937,84961,84985,85289,85593,85897,86201,86505,86809,87113,87417,87721,88025,88450,88874,89299,89723,90148,90573,90997,91422,91846,92271,93208,94144,95080,96017,96954,97890,98826,99763,100700,101636,101623,101610,101597,103434,105271
Randolph,3901,3931,3962,3993,4024,4055,4085,4116,4147,4178,4209,4239,4270,4301,4346,4392,4438,4483,4528,4574,4620,4665,4710,4756,4936,5115,5295,5475,5654,5834,6014,6194,6373,6553,6661,6769,6877,6985,7094,7202,7310,7418,7526,7634,7869,8104,8338,8573,8808,9043,9278,9512,9747,9982,10874,11766,12657,13549,14441,15333,16225,17116,18008,18900,19714,20527,21340,22154,22968,23781,24594,25408,26222,27035,27153,27272,27390,27508,27626,27745,27863,27981,28100,28218,28406,28593,28780,28968,29156,29343,29530,29718,29906,30093,30180,30267,30354,30441,30528,30615,30702,30789,30876,30963,31078,31193,31308,31423,31538,31652,31767,31882,31997,32112,32399,32686,32974,33261,33548,33835,34122,34410,34697,34984,34818,34653,34487,35114,35741
Reading,4714,4799,4884,4969,5054,5139,5224,5309,5394,5478,5563,5648,5733,5818,5980,6142,6304,6466,6628,6791,6953,7115,7277,7439,7672,7905,8137,8370,8603,8836,9069,9301,9534,9767,9877,9987,10097,10207,10316,10426,10536,10646,10756,10866,11180,11494,11808,12122,12436,12750,13064,13378,13692,14006,14531,15057,15582,16107,16632,17158,17683,18208,18734,19259,19587,19915,20243,20571,20899,21227,21555,21883,22211,22539,22553,22567,22581,22595,22608,22622,22636,22650,22664,22678,22664,22650,22636,22622,22608,22595,22581,22567,22553,22539,22656,22773,22890,23007,23124,23241,23358,23475,23592,23709,23813,23917,24020,24124,24228,24332,24436,24539,24643,24747,24824,24901,24978,25055,25132,25210,25287,25364,25441,25518,25488,25458,25428,26041,26654
Revere,11499,12016,12533,13050,13567,14084,14601,15118,15634,16151,16668,17185,17702,18219,19279,20340,21400,22461,23521,24581,25642,26702,27763,28823,29509,30194,30880,31566,32252,32937,33623,34309,34994,35680,35552,35425,35298,35170,35042,34915,34788,34660,34532,34405,34641,34877,35112,35348,35584,35820,36056,36291,36527,36763,37095,37426,37758,38090,38422,38753,39085,39417,39748,40080,40388,40696,41004,41312,41620,41927,42235,42543,42851,43159,43085,43012,42938,42865,42791,42717,42644,42570,42497,42423,42459,42496,42532,42568,42604,42641,42677,42713,42750,42786,43236,43685,44135,44585,45034,45484,45934,46384,46833,47283,47730,48177,48625,49072,49519,49966,50413,50861,51308,51755,52798,53841,54884,55927,56970,58014,59057,60100,61143,62186,60775,59365,57954,60702,63450
Rockland,4847,5007,5167,5327,5487,5647,5807,5967,6128,6288,6448,6608,6768,6928,6990,7051,7113,7174,7236,7298,7359,7421,7482,7544,7542,7540,7538,7536,7534,7532,7530,7528,7526,7524,7580,7637,7693,7749,7806,7862,7918,7974,8031,8087,8174,8262,8349,8436,8524,8611,8698,8785,8873,8960,9376,9792,10208,10624,11040,11455,11871,12287,12703,13119,13374,13630,13886,14141,14396,14652,14908,15163,15418,15674,15676,15678,15680,15682,15684,15687,15689,15691,15693,15695,15738,15781,15823,15866,15909,15952,15995,16037,16080,16123,16278,16432,16587,16742,16896,17051,17206,17361,17515,17670,17652,17634,17616,17598,17580,17561,17543,17525,17507,17489,17520,17552,17583,17615,17646,17677,17709,17740,17772,17803,17733,17664,17594,17708,17822
Rockport,4706,4668,4630,4592,4554,4516,4478,4440,4402,4363,4325,4287,4249,4211,4178,4144,4111,4078,4044,4011,3978,3945,3911,3878,3853,3828,3804,3779,3754,3729,3704,3680,3655,3630,3623,3615,3608,3600,3593,3586,3578,3571,3563,3556,3624,3691,3758,3826,3894,3961,4028,4096,4164,4231,4270,4308,4346,4385,4424,4462,4500,4539,4578,4616,4718,4820,4922,5024,5126,5228,5330,5432,5534,5636,5707,5778,5849,5920,5990,6061,6132,6203,6274,6345,6459,6572,6686,6800,6914,7027,7141,7255,7368,7482,7510,7539,7568,7596,7624,7653,7682,7710,7738,7767,7686,7604,7522,7441,7360,7278,7196,7115,7034,6952,6956,6960,6964,6968,6972,6976,6980,6984,6988,6992,6991,6989,6988,7091,7194
Salem,33634,34408,35182,35956,36730,37504,38278,39052,39826,40601,41375,42149,42923,43697,43590,43483,43377,43270,43163,43056,42949,42843,42736,42629,42701,42774,42846,42919,42991,43063,43136,43208,43281,43353,43139,42925,42711,42497,42283,42069,41855,41641,41427,41213,41280,41346,41413,41480,41546,41613,41680,41747,41813,41880,41613,41346,41079,40812,40546,40279,40012,39745,39478,39211,39346,39480,39614,39749,39884,40018,40152,40287,40422,40556,40322,40089,39855,39622,39388,39154,38921,38687,38454,38220,38207,38194,38181,38168,38156,38143,38130,38117,38104,38091,38323,38554,38786,39017,39249,39481,39712,39944,40175,40407,40500,40594,40687,40780,40874,40967,41060,41153,41247,41340,41654,41968,42282,42596,42910,43224,43538,43852,44166,44480,44568,44656,44744,45677,46610
Saugus,4191,4488,4784,5081,5378,5674,5971,6267,6564,6861,7157,7454,7750,8047,8330,8612,8895,9178,9460,9743,10026,10309,10591,10874,11257,11639,12022,12404,12787,13170,13552,13935,14317,14700,14712,14725,14738,14750,14762,14775,14788,14800,14812,14825,15059,15292,15526,15760,15994,16227,16461,16695,16928,17162,17512,17863,18213,18564,18914,19264,19615,19965,20316,20666,21110,21555,21999,22444,22888,23332,23777,24221,24666,25110,25074,25037,25001,24964,24928,24892,24855,24819,24782,24746,24826,24907,24987,25067,25148,25228,25308,25388,25469,25549,25602,25655,25708,25761,25814,25866,25919,25972,26025,26078,26133,26188,26243,26298,26353,26408,26463,26518,26573,26628,26827,27026,27225,27424,27624,27823,28022,28221,28420,28619,28623,28626,28630,29029,29428
Scituate,2466,2468,2469,2470,2471,2472,2474,2475,2476,2477,2478,2480,2481,2482,2487,2492,2498,2503,2508,2513,2518,2524,2529,2534,2592,2651,2709,2768,2826,2884,2943,3001,3060,3118,3219,3320,3422,3523,3624,3725,3826,3928,4029,4130,4316,4503,4689,4875,5062,5248,5434,5620,5807,5993,6515,7037,7559,8081,8604,9126,9648,10170,10692,11214,11790,12366,12942,13518,14094,14669,15245,15821,16397,16973,17007,17042,17076,17111,17145,17179,17214,17248,17283,17317,17264,17211,17158,17105,17052,16998,16945,16892,16839,16786,16894,17001,17109,17217,17324,17432,17540,17648,17755,17863,17890,17917,17944,17971,17998,18025,18052,18079,18106,18133,18226,18319,18412,18505,18598,18691,18784,18877,18970,19063,19141,19219,19297,19598,19899
Sharon,1907,1938,1969,2000,2031,2062,2093,2124,2155,2186,2217,2248,2279,2310,2320,2329,2339,2349,2358,2368,2378,2388,2397,2407,2501,2596,2690,2785,2879,2973,3068,3162,3257,3351,3390,3428,3467,3505,3544,3583,3621,3660,3698,3737,3848,3959,4070,4181,4292,4403,4514,4625,4736,4847,5369,5892,6414,6936,7458,7981,8503,9025,9548,10070,10300,10529,10759,10989,11218,11448,11678,11908,12137,12367,12490,12614,12737,12861,12984,13107,13231,13354,13478,13601,13793,13984,14176,14367,14559,14751,14942,15134,15325,15517,15706,15895,16084,16273,16462,16652,16841,17030,17219,17408,17428,17449,17469,17490,17510,17530,17551,17571,17592,17612,17708,17805,17901,17997,18094,18190,18286,18382,18479,18575,18531,18486,18442,18762,19082
Sherborn,1500,1494,1488,1483,1478,1472,1466,1461,1456,1450,1444,1439,1434,1428,1441,1454,1467,1480,1493,1506,1519,1532,1545,1558,1496,1435,1374,1312,1250,1189,1128,1066,1004,943,951,959,967,975,982,990,998,1006,1014,1022,1044,1067,1089,1111,1134,1156,1178,1200,1223,1245,1301,1357,1413,1469,1526,1582,1638,1694,1750,1806,1956,2107,2257,2407,2558,2708,2858,3008,3159,3309,3383,3457,3531,3605,3679,3753,3827,3901,3975,4049,4043,4037,4031,4025,4019,4013,4007,4001,3995,3989,4010,4031,4052,4073,4094,4116,4137,4158,4179,4200,4192,4184,4176,4168,4160,4151,4143,4135,4127,4119,4147,4175,4204,4232,4260,4288,4316,4345,4373,4401,4404,4406,4409,4485,4561
Somerville,56965,58524,60084,61643,63202,64762,66321,67880,69440,70999,72558,74117,75677,77236,78822,80407,81992,83578,85164,86749,88334,89920,91506,93091,94173,95254,96336,97418,98500,99581,100663,101745,102826,103908,103735,103562,103389,103216,103042,102869,102696,102523,102350,102177,102194,102212,102229,102247,102264,102281,102299,102316,102334,102351,101586,100820,100055,99289,98524,97759,96993,96228,95462,94697,94105,93513,92922,92330,91738,91146,90554,89963,89371,88779,87638,86498,85357,84216,83076,81935,80794,79653,78513,77372,77256,77140,77023,76907,76791,76675,76559,76442,76326,76210,76349,76488,76627,76766,76905,77044,77183,77322,77461,77600,77415,77231,77046,76862,76677,76492,76308,76123,75939,75754,76283,76812,77341,77870,78400,78929,79458,79987,80516,81045,80832,80620,80407,82149,83891
Southborough,1974,1956,1939,1921,1903,1886,1868,1851,1833,1815,1798,1780,1763,1745,1754,1764,1773,1782,1792,1801,1810,1819,1829,1838,1871,1904,1936,1969,2002,2035,2068,2100,2133,2166,2172,2179,2186,2192,2198,2205,2212,2218,2224,2231,2284,2337,2390,2443,2496,2548,2601,2654,2707,2760,2884,3007,3131,3254,3378,3502,3625,3749,3872,3996,4176,4356,4537,4717,4897,5077,5257,5438,5618,5798,5838,5877,5916,5956,5996,6035,6074,6114,6154,6193,6236,6280,6324,6367,6410,6454,6498,6541,6584,6628,6843,7059,7274,7489,7704,7920,8135,8350,8566,8781,8880,8978,9077,9175,9274,9373,9471,9570,9668,9767,9835,9904,9972,10040,10108,10177,10245,10313,10382,10450,10443,10436,10429,10569,10709
Stoneham,5929,6018,6108,6197,6286,6376,6465,6554,6644,6733,6822,6911,7001,7090,7168,7247,7325,7403,7482,7560,7638,7716,7795,7873,8092,8310,8529,8748,8966,9185,9404,9623,9841,10060,10130,10201,10272,10342,10412,10483,10554,10624,10694,10765,11011,11258,11504,11751,11997,12243,12490,12736,12983,13229,13688,14147,14607,15066,15525,15984,16443,16903,17362,17821,18111,18402,18692,18983,19273,19563,19854,20144,20435,20725,20795,20865,20935,21005,21074,21144,21214,21284,21354,21424,21502,21580,21658,21736,21814,21891,21969,22047,22125,22203,22205,22206,22208,22209,22211,22213,22214,22216,22217,22219,22141,22063,21984,21906,21828,21750,21672,21593,21515,21437,21618,21798,21979,22160,22340,22521,22702,22883,23063,23244,23114,22984,22854,24550,26246
Stoughton,5180,5267,5355,5442,5529,5617,5704,5792,5879,5966,6054,6141,6229,6316,6371,6426,6481,6536,6590,6645,6700,6755,6810,6865,6999,7133,7267,7401,7534,7668,7802,7936,8070,8204,8247,8290,8332,8375,8418,8461,8504,8546,8589,8632,8883,9135,9386,9638,9889,10140,10392,10643,10895,11146,11664,12182,12701,13219,13737,14255,14773,15292,15810,16328,17041,17754,18467,19180,19894,20607,21320,22033,22746,23459,23784,24109,24434,24759,25084,25410,25735,26060,26385,26710,26717,26723,26730,26737,26744,26750,26757,26764,26770,26777,26814,26851,26889,26926,26963,27000,27037,27075,27112,27149,27130,27112,27093,27074,27056,27037,27018,26999,26981,26962,27194,27426,27658,27890,28122,28353,28585,28817,29049,29281,29175,29068,28962,29457,29952
Stow,968,979,991,1002,1013,1025,1036,1047,1058,1070,1081,1092,1104,1115,1114,1112,1111,1109,1108,1107,1105,1104,1102,1101,1105,1109,1113,1117,1122,1126,1130,1134,1138,1142,1152,1162,1172,1182,1192,1203,1213,1223,1233,1243,1289,1334,1380,1426,1472,1517,1563,1609,1654,1700,1787,1875,1962,2049,2136,2224,2311,2398,2486,2573,2714,2855,2996,3137,3278,3420,3561,3702,3843,3984,4100,4216,4332,4448,4564,4680,4796,4912,5028,5144,5162,5181,5199,5218,5236,5254,5273,5291,5310,5328,5385,5443,5500,5558,5615,5672,5730,5787,5845,5902,5971,6040,6108,6177,6246,6315,6384,6452,6521,6590,6648,6707,6765,6824,6882,6940,6999,7057,7116,7174,7145,7117,7088,7335,7582
Sudbury,1159,1156,1153,1150,1147,1144,1141,1138,1135,1132,1129,1126,1123,1120,1120,1120,1120,1120,1120,1121,1121,1121,1121,1121,1127,1133,1139,1145,1152,1158,1164,1170,1176,1182,1239,1296,1354,1411,1468,1525,1582,1640,1697,1754,1838,1922,2007,2091,2175,2259,2343,2428,2512,2596,3081,3566,4051,4536,5022,5507,5992,6477,6962,7447,8053,8659,9265,9871,10476,11082,11688,12294,12900,13506,13558,13610,13662,13714,13766,13819,13871,13923,13975,14027,14060,14093,14126,14159,14192,14226,14259,14292,14325,14358,14606,14855,15103,15351,15600,15848,16096,16344,16593,16841,16923,17005,17086,17168,17250,17332,17414,17495,17577,17659,17786,17914,18042,18169,18296,18424,18552,18679,18806,18934,19087,19241,19394,19805,20216
Swampscott,4181,4337,4492,4648,4804,4959,5115,5270,5426,5582,5737,5893,6048,6204,6394,6583,6773,6963,7152,7342,7532,7722,7911,8101,8326,8550,8774,8999,9224,9448,9672,9897,10122,10346,10388,10429,10470,10512,10554,10595,10636,10678,10720,10761,10843,10925,11007,11089,11170,11252,11334,11416,11498,11580,11751,11923,12094,12266,12437,12608,12780,12951,13123,13294,13322,13351,13379,13408,13436,13464,13493,13521,13550,13578,13604,13630,13656,13682,13708,13733,13759,13785,13811,13837,13818,13800,13781,13762,13744,13725,13706,13687,13669,13650,13726,13802,13879,13955,14031,14107,14183,14260,14336,14412,14350,14287,14224,14162,14100,14037,13974,13912,13850,13787,13919,14052,14184,14317,14449,14581,14714,14846,14979,15111,15236,15362,15487,15658,15829
Topsfield,987,1001,1016,1030,1044,1059,1073,1088,1102,1116,1131,1145,1160,1174,1147,1119,1092,1064,1037,1010,982,955,927,900,909,917,926,934,943,952,960,969,977,986,1002,1019,1035,1052,1068,1084,1101,1117,1134,1150,1176,1202,1229,1255,1281,1307,1333,1360,1386,1412,1606,1800,1994,2188,2382,2575,2769,2963,3157,3351,3538,3726,3913,4101,4288,4475,4663,4850,5038,5225,5273,5322,5370,5419,5467,5515,5564,5612,5661,5709,5714,5718,5722,5727,5732,5736,5740,5745,5750,5754,5793,5831,5870,5909,5948,5986,6025,6064,6102,6141,6135,6130,6124,6119,6113,6107,6102,6096,6091,6085,6133,6182,6230,6279,6327,6375,6424,6472,6521,6569,6561,6552,6544,6620,6696
Wakefield,8656,8867,9079,9290,9501,9713,9924,10136,10347,10558,10770,10981,11193,11404,11566,11728,11890,12052,12214,12377,12539,12701,12863,13025,13354,13684,14013,14342,14672,15001,15330,15659,15989,16318,16308,16299,16290,16280,16270,16261,16252,16242,16232,16223,16564,16905,17246,17587,17928,18269,18610,18951,19292,19633,20099,20565,21032,21498,21964,22430,22896,23363,23829,24295,24406,24516,24627,24738,24848,24959,25070,25181,25291,25402,25351,25301,25250,25199,25148,25098,25047,24996,24946,24895,24888,24881,24874,24867,24860,24853,24846,24839,24832,24825,24823,24821,24819,24817,24814,24812,24810,24808,24806,24804,24817,24830,24842,24855,24868,24881,24894,24906,24919,24932,25148,25364,25579,25795,26011,26227,26443,26658,26874,27090,27330,27570,27810,29216,30622
Walpole,3176,3308,3440,3572,3704,3836,3968,4100,4232,4364,4496,4628,4760,4892,4947,5003,5058,5114,5169,5224,5280,5335,5391,5446,5629,5811,5994,6177,6360,6542,6725,6908,7090,7273,7290,7307,7324,7341,7358,7375,7392,7409,7426,7443,7610,7776,7943,8109,8276,8443,8609,8776,8942,9109,9605,10101,10597,11093,11588,12084,12580,13076,13572,14068,14476,14884,15292,15700,16108,16517,16925,17333,17741,18149,18220,18291,18362,18433,18504,18575,18646,18717,18788,18859,18994,19130,19265,19400,19536,19671,19806,19941,20077,20212,20473,20734,20996,21257,21518,21779,22040,22302,22563,22824,22949,23073,23198,23322,23447,23572,23696,23821,23945,24070,24301,24533,24764,24995,25226,25458,25689,25920,26152,26383,26243,26104,25964,26391,26818
Waltham,22175,22610,23046,23481,23916,24352,24787,25222,25658,26093,26528,26963,27399,27834,28142,28450,28758,29066,29374,29683,29991,30299,30607,30915,31748,32581,33415,34248,35081,35914,36747,37581,38414,39247,39324,39402,39479,39556,39634,39711,39788,39865,39943,40020,40737,41453,42170,42887,43604,44320,45037,45754,46470,47187,48010,48832,49655,50477,51300,52123,52945,53768,54590,55413,56030,56647,57264,57881,58498,59114,59731,60348,60965,61582,61244,60906,60567,60229,59891,59553,59215,58876,58538,58200,58168,58136,58103,58071,58039,58007,57975,57942,57910,57878,58013,58148,58282,58417,58552,58687,58822,58956,59091,59226,59367,59507,59648,59788,59929,60070,60210,60351,60491,60632,61091,61549,62008,62466,62925,63384,63842,64301,64759,65218,64971,64724,64477,65849,67221
Watertown,8755,9072,9389,9706,10023,10340,10657,10974,11290,11607,11924,12241,12558,12875,13733,14591,15450,16308,17166,18024,18882,19741,20599,21457,22803,24148,25494,26839,28185,29531,30876,32222,33567,34913,34964,35016,35067,35119,35170,35221,35273,35324,35376,35427,35617,35807,35998,36188,36378,36568,36758,36949,37139,37329,37505,37682,37858,38034,38210,38387,38563,38739,38916,39092,39114,39135,39156,39178,39200,39221,39242,39264,39286,39307,38815,38322,37830,37338,36846,36353,35861,35369,34876,34384,34274,34164,34054,33944,33834,33724,33614,33504,33394,33284,33254,33224,33195,33165,33135,33105,33075,33046,33016,32986,32879,32772,32665,32558,32450,32343,32236,32129,32022,31915,32256,32598,32939,33281,33622,33963,34305,34646,34988,35329,35305,35280,35256,35985,36714
Wayland,2332,2322,2313,2303,2293,2284,2274,2264,2254,2245,2235,2225,2216,2206,2179,2152,2125,2098,2070,2043,2016,1989,1962,1935,2035,2135,2236,2336,2436,2536,2636,2737,2837,2937,2994,3051,3107,3164,3221,3278,3335,3391,3448,3505,3595,3685,3776,3866,3956,4046,4136,4227,4317,4407,5011,5614,6218,6822,7426,8029,8633,9237,9840,10444,10746,11047,11349,11651,11952,12254,12556,12858,13159,13461,13332,13203,13074,12945,12816,12686,12557,12428,12299,12170,12140,12111,12081,12052,12022,11992,11963,11933,11904,11874,11997,12119,12242,12364,12487,12610,12732,12855,12977,13100,13089,13079,13068,13058,13047,13036,13026,13015,13005,12994,13089,13184,13279,13374,13468,13563,13658,13753,13848,13943,13879,13816,13752,14054,14356
Wellesley,4970,5004,5038,5072,5106,5140,5174,5208,5242,5277,5311,5345,5379,5413,5494,5575,5656,5737,5818,5900,5981,6062,6143,6224,6746,7267,7788,8310,8832,9353,9874,10396,10918,11439,11808,12177,12545,12914,13283,13652,14021,14389,14758,15127,15669,16211,16754,17296,17838,18380,18922,19465,20007,20549,21101,21653,22206,22758,23310,23862,24414,24967,25519,26071,26269,26467,26665,26863,27061,27259,27457,27655,27853,28051,27967,27883,27798,27714,27630,27546,27462,27377,27293,27209,27150,27090,27031,26971,26912,26853,26793,26734,26674,26615,26658,26701,26744,26787,26830,26874,26917,26960,27003,27046,27140,27233,27327,27420,27514,27608,27701,27795,27888,27982,28139,28296,28452,28609,28766,28923,29080,29236,29393,29550,29944,30339,30733,31242,31751
Wenham,798,814,831,847,863,880,896,912,928,945,961,977,994,1010,1018,1026,1034,1042,1050,1058,1066,1074,1082,1090,1093,1096,1099,1102,1104,1107,1110,1113,1116,1119,1129,1139,1149,1159,1170,1180,1190,1200,1210,1220,1262,1305,1347,1390,1432,1474,1517,1559,1602,1644,1759,1875,1990,2106,2221,2336,2452,2567,2683,2798,2903,3008,3113,3218,3324,3429,3534,3639,3744,3849,3854,3859,3863,3868,3873,3878,3883,3887,3892,3897,3928,3960,3992,4023,4054,4086,4118,4149,4180,4212,4256,4301,4345,4390,4434,4478,4523,4567,4612,4656,4678,4700,4722,4744,4766,4787,4809,4831,4853,4875,4885,4896,4906,4917,4927,4937,4948,4958,4969,4979,4972,4964,4957,4945,4933
Weston,1752,1780,1807,1834,1861,1888,1916,1943,1970,1997,2024,2052,2079,2106,2124,2141,2159,2176,2194,2212,2229,2247,2264,2282,2387,2492,2597,2702,2807,2912,3017,3122,3227,3332,3358,3384,3409,3435,3461,3487,3513,3538,3564,3590,3734,3877,4021,4164,4308,4452,4595,4739,4882,5026,5350,5673,5996,6320,6644,6967,7290,7614,7938,8261,8522,8783,9044,9305,9566,9826,10087,10348,10609,10870,10900,10930,10960,10990,11020,11049,11079,11109,11139,11169,11072,10975,10878,10781,10684,10588,10491,10394,10297,10200,10327,10454,10581,10708,10834,10961,11088,11215,11342,11469,11448,11427,11407,11386,11365,11344,11323,11303,11282,11261,11320,11379,11438,11497,11556,11615,11674,11733,11792,11851,11782,11714,11645,11827,12009
Westwood,2782,2830,2878,2926,2974,3022,3070,3118,3166,3214,3262,3310,3358,3406,3425,3444,3463,3482,3500,3519,3538,3557,3576,3595,3445,3295,3146,2996,2846,2696,2546,2397,2247,2097,2225,2353,2481,2609,2736,2864,2992,3120,3248,3376,3622,3868,4114,4360,4606,4853,5099,5345,5591,5837,6289,6740,7192,7644,8096,8547,8999,9451,9902,10354,10594,10833,11073,11312,11552,11792,12031,12271,12510,12750,12796,12842,12889,12935,12981,13027,13073,13120,13166,13212,13146,13081,13016,12950,12884,12819,12754,12688,12622,12557,12713,12869,13025,13181,13337,13493,13649,13805,13961,14117,14167,14217,14267,14317,14368,14418,14468,14518,14568,14618,14783,14948,15112,15277,15442,15607,15772,15936,16101,16266,16259,16251,16244,16533,16822
Weymouth,11014,11159,11303,11448,11593,11737,11882,12027,12172,12316,12461,12606,12750,12895,13111,13327,13544,13760,13976,14192,14408,14625,14841,15057,15640,16222,16804,17387,17970,18552,19134,19717,20300,20882,21181,21479,21778,22076,22375,22674,22972,23271,23569,23868,24750,25632,26515,27397,28279,29161,30043,30926,31808,32690,34239,35787,37336,38885,40434,41982,43531,45080,46628,48177,48820,49464,50107,50750,51394,52037,52680,53323,53967,54610,54709,54808,54907,55006,55106,55205,55304,55403,55502,55601,55447,55293,55140,54986,54832,54678,54524,54371,54217,54063,54056,54048,54040,54033,54026,54018,54010,54003,53996,53988,53964,53939,53914,53890,53866,53841,53816,53792,53768,53743,54112,54482,54851,55221,55590,55959,56329,56698,57068,57437,57996,58555,59114,60159,61204
Wilmington,1517,1544,1570,1596,1622,1648,1675,1701,1727,1753,1779,1806,1832,1858,1930,2003,2075,2147,2220,2292,2364,2436,2509,2581,2724,2867,3011,3154,3297,3440,3583,3727,3870,4013,4076,4139,4203,4266,4329,4392,4455,4519,4582,4645,4884,5124,5363,5603,5842,6081,6321,6560,6800,7039,7583,8126,8670,9213,9757,10301,10844,11388,11931,12475,12938,13400,13863,14326,14788,15251,15714,16177,16639,17102,17139,17176,17213,17250,17286,17323,17360,17397,17434,17471,17489,17507,17525,17543,17561,17579,17597,17615,17633,17651,18022,18393,18765,19136,19507,19878,20249,20621,20992,21363,21459,21555,21652,21748,21844,21940,22036,22133,22229,22325,22427,22530,22632,22735,22837,22939,23042,23144,23247,23349,23282,23215,23148,23802,24456
Winchester,6630,6836,7042,7248,7454,7660,7866,8072,8278,8485,8691,8897,9103,9309,9427,9544,9662,9779,9897,10015,10132,10250,10367,10485,10708,10932,11155,11379,11602,11825,12049,12272,12496,12719,12955,13191,13428,13664,13900,14136,14372,14609,14845,15081,15124,15167,15209,15252,15295,15338,15381,15423,15466,15509,15896,16282,16669,17056,17442,17829,18216,18603,18989,19376,19665,19955,20244,20533,20822,21112,21401,21690,21980,22269,22112,21955,21799,21642,21485,21328,21171,21015,20858,20701,20658,20614,20571,20527,20484,20441,20397,20354,20310,20267,20321,20376,20430,20484,20538,20593,20647,20701,20756,20810,20866,20923,20979,21036,21092,21148,21205,21261,21318,21374,21534,21693,21853,22012,22172,22332,22491,22651,22810,22970,22926,22881,22837,23953,25069
