Municipality,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Dedham,6909,7092,7274,7457,7640,7822,8005,8188,8370,8553,8736,8919,9101,9284,9434,9584,9733,9883,10033,10183,10333,10482,10632,10782,11217,11653,12088,12524,12959,13394,13830,14265,14701,15136,15173,15210,15248,15285,15322,15359,15396,15434,15471,15508,15806,16104,16402,16700,16998,17295,17593,17891,18189,18487,19025,19563,20102,20640,21178,21716,22254,22793,23331,23869,24176,24483,24790,25097,25404,25710,26017,26324,26631,26938,26774,26610,26446,26282,26118,25954,25790,25626,25462,25298,25146,24995,24843,24692,24540,24388,24237,24085,23934,23782,23750,23718,23687,23655,23623,23591,23559,23528,23496,23464,23590,23717,23844,23970,24096,24223,24350,24476,24602,24729,24792,24856,24920,24983,25046,25110,25174,25237,25300,25364,25232,25100,24968,25485,26002
Dover,613,628,642,656,670,684,699,713,727,741,755,770,784,798,805,812,819,826,832,839,846,853,860,867,900,933,965,998,1031,1064,1097,1129,1162,1195,1213,1231,1249,1267,1284,1302,1320,1338,1356,1374,1409,1444,1478,1513,1548,1583,1618,1652,1687,1722,1834,1947,2059,2172,2284,2396,2509,2621,2734,2846,3014,3183,3351,3519,3688,3856,4024,4192,4361,4529,4546,4564,4581,4599,4616,4633,4651,4668,4686,4703,4724,4745,4767,4788,4809,4830,4851,4873,4894,4915,4979,5044,5108,5172,5236,5301,5365,5429,5494,5558,5561,5564,5567,5570,5574,5577,5580,5583,5586,5589,5622,5656,5689,5723,5756,5789,5823,5856,5890,5923,5903,5884,5864,6057,6250
Duxbury,2191,2152,2114,2075,2036,1998,1959,1920,1882,1843,1804,1765,1727,1688,1674,1661,1648,1634,1620,1607,1594,1580,1566,1553,1567,1582,1596,1610,1624,1639,1653,1667,1682,1696,1762,1829,1895,1961,2028,2094,2160,2226,2293,2359,2440,2521,2601,2682,2763,2844,2925,3005,3086,3167,3323,3479,3635,3791,3947,4103,4259,4415,4571,4727,5018,5309,5600,5891,6182,6472,6763,7054,7345,7636,8053,8470,8887,9304,9722,10139,10556,10973,11390,11807,12016,12225,12433,12642,12851,13060,13269,13477,13686,13895,13930,13966,14001,14036,14072,14107,14142,14177,14213,14248,14329,14410,14491,14572,14654,14735,14816,14897,14978,15059,15162,15265,15368,15471,15574,15678,15781,15884,15987,16090,16122,16153,16185,16377,16569
Essex,1676,1671,1667,1663,1659,1655,1650,1646,1642,1638,1634,1629,1625,1621,1607,1592,1578,1564,1550,1535,1521,1507,1492,1478,1477,1475,1474,1473,1472,1470,1469,1468,1466,1465,1457,1449,1441,1433,1424,1416,1408,1400,1392,1384,1425,1466,1507,1548,1589,1630,1671,1712,1753,1794,1838,1883,1927,1972,2016,2060,2105,2149,2194,2238,2281,2324,2368,2411,2454,2497,2540,2584,2627,2670,2703,2736,2768,2801,2834,2867,2900,2932,2965,2998,3024,3050,3077,3103,3129,3155,3181,3208,3234,3260,3261,3261,3262,3263,3264,3264,3265,3266,3266,3267,3291,3314,3338,3362,3386,3409,3433,3457,3480,3504,3521,3538,3555,3572,3590,3607,3624,3641,3658,3675,3681,3688,3694,3760,3826
Everett,21592,22506,23421,24336,25251,26166,27080,27995,28910,29825,30740,31654,32569,33484,34148,34811,35475,36138,36802,37466,38129,38793,39456,40120,40950,41781,42611,43442,44272,45102,45933,46763,47594,48424,48260,48096,47932,47768,47604,47440,47276,47112,46948,46784,46704,46624,46543,46463,46383,46303,46223,46142,46062,45982,45738,45494,45251,45007,44763,44519,44275,44032,43788,43544,43438,43332,43226,43120,43014,42909,42803,42697,42591,42485,41956,41427,40898,40369,39840,39311,38782,38253,37724,37195,37046,36896,36747,36597,36448,36299,36149,36000,35850,35701,35935,36168,36402,36635,36869,37103,37336,37570,37803,38037,38400,38763,39126,39489,39852,40215,40578,40941,41304,41667,42408,43149,43889,44630,45371,46112,46853,47593,48334,49075,49489,49904,50318,51825,53332
Foxborough,3087,3147,3206,3266,3326,3385,3445,3505,3564,3624,3684,3744,3803,3863,3890,3918,3945,3972,4000,4027,4054,4081,4109,4136,4257,4378,4499,4620,4742,4863,4984,5105,5226,5347,5443,5538,5634,5729,5825,5921,6016,6112,6207,6303,6376,6448,6521,6594,6666,6739,6812,6885,6957,7030,7341,7651,7962,8272,8583,8894,9204,9515,9825,10136,10544,10952,11361,11769,12177,12585,12993,13402,13810,14218,14211,14204,14197,14190,14183,14176,14169,14162,14155,14148,14197,14246,14295,14344,14392,14441,14490,14539,14588,14637,14798,14959,15120,15281,15442,15602,15763,15924,16085,16246,16308,16370,16432,16494,16556,16617,16679,16741,16803,16865,17040,17216,17391,17566,17742,17917,18092,18267,18443,18618,18573,18529,18484,18791,19098
Framingham,10545,10884,11222,11561,11900,12238,12577,12916,13254,13593,13932,14271,14609,14948,15156,15365,15574,15782,15990,16199,16408,16616,16824,17033,17551,18068,18586,19104,19622,20139,20657,21175,21692,22210,22310,22411,22511,22612,22712,22812,22913,23013,23114,23214,23701,24188,24676,25163,25650,26137,26624,27112,27599,28086,29730,31374,33018,34662,36306,37950,39594,41238,42882,44526,46478,48430,50383,52335,54287,56239,58191,60144,62096,64048,64154,64261,64368,64474,64580,64687,64794,64900,65006,65113,65101,65088,65076,65063,65051,65039,65026,65014,65001,64989,65181,65373,65565,65757,65950,66142,66334,66526,66718,66910,67051,67192,67332,67473,67614,67755,67896,68036,68177,68318,68722,69127,69531,69936,70340,70744,71149,71553,71958,72362,72200,72037,71875,73361,74847
Franklin,4830,4892,4955,5017,5079,5142,5204,5267,5329,5391,5454,5516,5579,5641,5727,5812,5898,5983,6069,6155,6240,6326,6411,6497,6550,6603,6656,6709,6762,6816,6869,6922,6975,7028,7056,7083,7110,7138,7166,7193,7220,7248,7276,7303,7376,7450,7523,7597,7670,7743,7817,7890,7964,8037,8286,8536,8785,9034,9284,9533,9782,10031,10281,10530,11260,11990,12720,13450,14180,14910,15640,16370,17100,17830,17869,17907,17946,17985,18024,18062,18101,18140,18178,18217,18605,18993,19380,19768,20156,20544,20932,21319,21707,22095,22842,23588,24334,25081,25828,26574,27320,28067,28814,29560,29768,29975,30182,30390,30598,30805,31012,31220,31428,31635,31798,31960,32123,32285,32448,32611,32773,32936,33098,33261,33216,33170,33125,33742,34359
Gloucester,26638,26466,26293,26121,25949,25776,25604,25432,25260,25087,24915,24743,24570,24398,24223,24048,23873,23698,23522,23347,23172,22997,22822,22647,22803,22958,23114,23270,23426,23581,23737,23893,24048,24204,24188,24172,24157,24141,24125,24109,24093,24078,24062,24046,24158,24270,24382,24494,24606,24719,24831,24943,25055,25167,25229,25291,25354,25416,25478,25540,25602,25665,25727,25789,26004,26219,26435,26650,26865,27080,27295,27511,27726,27941,27924,27906,27889,27872,27854,27837,27820,27803,27785,27768,27863,27958,28052,28147,28242,28337,28432,28526,28621,28716,28872,29027,29183,29339,29494,29650,29806,29962,30117,30273,30125,29976,29828,29679,29531,29383,29234,29086,28937,28789,28883,28977,29071,29165,29259,29353,29447,29541,29635,29729,29806,29882,29959,30491,31023
Hamilton,1574,1587,1600,1614,1628,1641,1654,1668,1682,1695,1708,1722,1736,1749,1737,1725,1714,1702,1690,1678,1666,1655,1643,1631,1672,1714,1755,1796,1838,1879,1920,1961,2003,2044,2043,2043,2042,2041,2040,2040,2039,2038,2038,2037,2110,2182,2255,2328,2400,2473,2546,2619,2691,2764,3036,3309,3581,3854,4126,4398,4671,4943,5216,5488,5576,5665,5754,5842,5930,6019,6108,6196,6284,6373,6432,6490,6549,6608,6666,6725,6784,6843,6901,6960,6992,7024,7056,7088,7120,7152,7184,7216,7248,7280,7384,7487,7590,7694,7798,7901,8004,8108,8212,8315,8260,8205,8150,8095,8040,7984,7929,7874,7819,7764,7744,7723,7703,7683,7662,7642,7622,7602,7581,7561,7569,7578,7586,7670,7754
